epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6729,2.00505,4.60315,1.45781,0.48395,0.3833,0.37415,0.16129,1.94299,2.42964,1.58711,0.000664767,0.000664767,0.000664767
2,111.168,1.97526,2.56406,1.49707,0.35703,0.37192,0.30649,0.14881,1.90425,2.35491,1.52638,0.00126553,0.00126553,0.00126553
3,163.44,1.97466,2.10014,1.47627,0.51405,0.44402,0.41531,0.18115,2.03721,2.00878,1.54208,0.00180029,0.00180029,0.00180029
4,215.52,1.9299,1.98035,1.43853,0.52581,0.4649,0.42834,0.1939,1.80119,2.06709,1.45467,0.001703,0.001703,0.001703
5,267.275,1.86893,1.91427,1.43274,0.62652,0.48387,0.51091,0.24924,1.8277,1.76672,1.44103,0.001604,0.001604,0.001604
6,318.746,1.81736,1.81469,1.42059,0.53371,0.45502,0.43628,0.21293,1.79373,1.96158,1.46707,0.001505,0.001505,0.001505
7,370.633,1.79277,1.78741,1.39592,0.58751,0.49336,0.48946,0.24713,1.71867,1.70838,1.4095,0.001406,0.001406,0.001406
8,422.05,1.75367,1.6919,1.36889,0.66348,0.51803,0.56065,0.28376,1.68231,1.5739,1.38569,0.001307,0.001307,0.001307
9,473.623,1.72706,1.64138,1.3447,0.58422,0.50259,0.52048,0.26696,1.71227,1.74041,1.39287,0.001208,0.001208,0.001208
10,525.192,1.6977,1.61185,1.34874,0.64921,0.55503,0.57685,0.29185,1.66238,1.55756,1.37463,0.001109,0.001109,0.001109
11,602.992,1.67165,1.59297,1.35561,0.61546,0.56033,0.57622,0.30158,1.67596,1.51599,1.37216,0.00101,0.00101,0.00101
12,654.515,1.65721,1.51197,1.34229,0.68804,0.5778,0.62612,0.34091,1.61031,1.38111,1.33072,0.000911,0.000911,0.000911
13,706.019,1.62489,1.46213,1.32132,0.69736,0.57021,0.62938,0.33357,1.62678,1.40032,1.32974,0.000812,0.000812,0.000812
14,757.443,1.60628,1.41994,1.30366,0.65382,0.57116,0.60047,0.32122,1.5993,1.39716,1.33795,0.000713,0.000713,0.000713
15,808.737,1.59605,1.37214,1.30168,0.71781,0.5599,0.63038,0.34124,1.59727,1.39515,1.31103,0.000614,0.000614,0.000614
16,860.211,1.5567,1.3719,1.27604,0.68622,0.57476,0.62909,0.35109,1.56157,1.37681,1.28878,0.000515,0.000515,0.000515
17,911.519,1.5339,1.32359,1.26323,0.67905,0.60019,0.63563,0.35239,1.59018,1.37239,1.30587,0.000416,0.000416,0.000416
18,963.016,1.50203,1.26961,1.25308,0.72028,0.6181,0.66916,0.37885,1.53011,1.25032,1.2781,0.000317,0.000317,0.000317
19,1014.56,1.47442,1.23087,1.23782,0.70291,0.61954,0.67408,0.37853,1.52513,1.21829,1.2685,0.000218,0.000218,0.000218
20,1065.91,1.45563,1.20233,1.22039,0.74126,0.6186,0.68798,0.39414,1.49432,1.19426,1.24924,0.000119,0.000119,0.000119
